verb_noun,effect_sentence,effect_sentence_len,verb,noun,knowrob,knowrob_verb,knowrob_noun
arrange chairs,chairs are arranged in a specific fashion all on one side a circle all in a row etc,83,arrange,chairs,Arrange means putting things in a certain order. Chairs means person-supporting furniture.,Arrange means putting things in a certain order.,Chairs means person-supporting furniture.
arrange flowers,the flowers are positioned so that they look pleasing to the eye,64,arrange,flowers,"Arrange means putting things in a certain order. Flowers means plants, often ornamental.",Arrange means putting things in a certain order.,"Flowers means plants, often ornamental."
bake potato,the potato is heated in the oven so it can be eaten,51,bake,potato,"Bake means heating process, a physical transformation event, cooking food, dough inputs destroyed, baked outputs created. Potato means tuberous vegetable.","Bake means heating process, a physical transformation event, cooking food, dough inputs destroyed, baked outputs created.",Potato means tuberous vegetable.
beat eggs,the egg whites and yolks are blended until the mixture turns fluffy,67,beat,eggs,Beat means to strike repeatedly. Eggs means eggs are a type of food.,Beat means to strike repeatedly.,Eggs means eggs are a type of food.
bend knee,fold the leg in a way the knee is bent forward,46,bend,knee,"Bend means change in shape, usually over a distance. Knee means body part.","Bend means change in shape, usually over a distance.",Knee means body part.
bend tree,"the tree will be falling to the ground soon
",44,bend,tree,"Bend means change in shape, usually over a distance. Tree means tall perennial plant.","Bend means change in shape, usually over a distance.",Tree means tall perennial plant.
bind hair,hair will go from being loose to being tied together in one big bundle,70,bind,hair,Bind means to connect or fasten together. Hair means body covering.,Bind means to connect or fasten together.,Hair means body covering.
bite apple,"a mouth uses teeth to remove a section of apple from itself
",60,bite,apple,Bite means to use teeth to cut into and tear off a piece of something. Apple means fruit.,Bite means to use teeth to cut into and tear off a piece of something.,Apple means fruit.
block door,the door has something to prevent people from passing through it,64,block,door,"Block means obstruction event, stopping something from passing. Door means doorway covering.","Block means obstruction event, stopping something from passing.",Door means doorway covering.
block window,place objects in front of the window so it cannot be passed through,67,block,window,"Block means obstruction event, stopping something from passing. Window means opening in wall for light and air.","Block means obstruction event, stopping something from passing.",Window means opening in wall for light and air.
boil egg,the egg goes from being raw and unfit to eat to an opposite condition of being cooked by boiling and consumable,111,boil,egg,"Boil means the min temperature for process is 100, used the device burner, boiled outputs created. Egg means food.","Boil means the min temperature for process is 100, used the device burner, boiled outputs created.",Egg means food.
boil potato,the potato is placed in water and heated until ready to be eaten,64,boil,potato,"Boil means the min temperature for process is 100, used the device burner, boiled outputs created. Potato means tuberous vegetable.","Boil means the min temperature for process is 100, used the device burner, boiled outputs created.",Potato means tuberous vegetable.
break bowl,the bowl is being shattered into more than one piece,52,break,bowl,"Break means intrinsic state change event, object state from whole to broken. Bowl means container for holding a particular type of food.","Break means intrinsic state change event, object state from whole to broken.",Bowl means container for holding a particular type of food.
break cup,the cup fall from the table and broke in pieces,47,break,cup,"Break means intrinsic state change event, object state from whole to broken. Cup means drinking vessel.","Break means intrinsic state change event, object state from whole to broken.",Cup means drinking vessel.
break door,the door is changed both in terms of location and effectiveness when the police break it down,93,break,door,"Break means intrinsic state change event, object state from whole to broken. Door means doorway covering.","Break means intrinsic state change event, object state from whole to broken.",Door means doorway covering.
break egg,the egg shell is shattered and the egg is oozing out,52,break,egg,"Break means intrinsic state change event, object state from whole to broken. Egg means food.","Break means intrinsic state change event, object state from whole to broken.",Egg means food.
break glass,"separate the glass in to pieces by forcefully hitting it
",57,break,glass,"Break means intrinsic state change event, object state from whole to broken. Glass means transparent, breakable container.","Break means intrinsic state change event, object state from whole to broken.","Glass means transparent, breakable container."
break window,separate the window into pieces by hitting with a hard object like hammer,73,break,window,"Break means intrinsic state change event, object state from whole to broken. Window means opening in wall for light and air.","Break means intrinsic state change event, object state from whole to broken.",Window means opening in wall for light and air.
burn book,the book has turned to ashes within minutes,43,burn,book,"Burn means heating process, object state from cool to hot, outputs created. Book means a written or printed work.","Burn means heating process, object state from cool to hot, outputs created.",Book means a written or printed work.
burn paper,the paper is lit on fire and turned to ash,42,burn,paper,"Burn means heating process, object state from cool to hot, outputs created. Paper means a thin sheet of material made from wood pulp, rags, or other fibrous material, used for writing, drawing, or printing.","Burn means heating process, object state from cool to hot, outputs created.","Paper means a thin sheet of material made from wood pulp, rags, or other fibrous material, used for writing, drawing, or printing."
burn tree,tree becomes a charred remain devoid of life,44,burn,tree,"Burn means heating process, object state from cool to hot, outputs created. Tree means tall perennial plant.","Burn means heating process, object state from cool to hot, outputs created.",Tree means tall perennial plant.
burn wood,the wood is being used in the fire to keep us warm tonight,58,burn,wood,"Burn means heating process, object state from cool to hot, outputs created. Wood means natural resource.","Burn means heating process, object state from cool to hot, outputs created.",Wood means natural resource.
